time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106223,-0.831298,0.199033,-1.8675,0.227974,0.176141,0.920113,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.727893,0.588947,0.553684,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106231,-0.831361,0.199021,-1.8675,0.227966,0.176142,0.920125,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.727043,0.588521,0.553826,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106238,-0.831426,0.199008,-1.8675,0.227957,0.176144,0.920138,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.726176,0.588088,0.553971,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106246,-0.831492,0.198996,-1.8675,0.227949,0.176145,0.92015,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.725294,0.587647,0.554118,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106253,-0.831559,0.198984,-1.8675,0.22794,0.176146,0.920163,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.724396,0.587198,0.554267,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106261,-0.831627,0.198971,-1.8675,0.22793,0.176147,0.920176,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.723481,0.586741,0.55442,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106269,-0.831697,0.198958,-1.8675,0.227921,0.176149,0.920189,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.722551,0.586275,0.554575,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106277,-0.831767,0.198944,-1.8675,0.227911,0.17615,0.920203,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.721604,0.585802,0.554733,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106285,-0.83184,0.198931,-1.8675,0.227902,0.176152,0.920216,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.720642,0.585321,0.554893,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106294,-0.831912,0.198917,-1.8675,0.227892,0.176153,0.92023,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.719663,0.584832,0.555056,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106302,-0.831987,0.198903,-1.8675,0.227882,0.176154,0.920244,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.718668,0.584334,0.555222,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106311,-0.832063,0.198889,-1.8675,0.227872,0.176155,0.920258,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.717658,0.583829,0.55539,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10632,-0.832139,0.198875,-1.8675,0.227861,0.176157,0.920273,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.716631,0.583316,0.555561,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106329,-0.832217,0.19886,-1.8675,0.227851,0.176158,0.920288,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.715588,0.582794,0.555735,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106338,-0.832296,0.198845,-1.8675,0.22784,0.17616,0.920303,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.714529,0.582265,0.555912,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106347,-0.832376,0.19883,-1.8675,0.227829,0.176162,0.920318,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.713455,0.581727,0.556091,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106356,-0.832458,0.198815,-1.8675,0.227819,0.176163,0.920333,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.712364,0.581182,0.556273,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106366,-0.832539,0.1988,-1.8675,0.227808,0.176165,0.920349,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.711273,0.580636,0.556455,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106375,-0.832621,0.198784,-1.8675,0.227797,0.176166,0.920364,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.710182,0.580091,0.556636,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106385,-0.832703,0.19877,-1.8675,0.227785,0.176168,0.92038,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.709091,0.579545,0.556818,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106394,-0.832785,0.198754,-1.8675,0.227775,0.176169,0.920395,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.708,0.579,0.557,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106403,-0.832866,0.198739,-1.8675,0.227763,0.17617,0.920411,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.706909,0.578455,0.557182,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106413,-0.832948,0.198723,-1.8675,0.227753,0.176171,0.920426,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.705818,0.577909,0.557364,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106422,-0.833029,0.198708,-1.8675,0.227742,0.176173,0.920441,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.704727,0.577364,0.557545,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106431,-0.83311,0.198693,-1.8675,0.227731,0.176174,0.920457,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.703636,0.576818,0.557727,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.106441,-0.833192,0.198678,-1.8675,0.22772,0.176176,0.920472,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.702545,0.576273,0.557909,0.3,
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,0.10645,-0.833273,0.198663,-1.8675,0.227709,0.176177,0.920487,0.0,0.0,-0.030326,0.0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0.0,0.2,0.701455,0.575727,0.558091,0.3,
